dt_year_month,ap_group_name,user_count,upload_bytes,download_bytes,session_time
201907,예래동주민센터,651,427129512,3513742090,706786
201907,외돌개,2668,12785513735,51536091395,6904979
201907,용문 사거리,12590,3802566117,44871899906,39374824
201907,워터월드,1926,14046168100,71935527464,4448463
201907,인다마을,18761,4600679180,37204563711,63139395
201907,일도이동공영주차장,15006,2643575963,40399121076,50250579
201907,정존마을,33596,15575545848,1.2608E+11,127529206
201907,제주대학교 입구,7466,3371879499,15112077043,24042185
201907,제주대학교교육대학,26629,6908336932,1.1121E+11,67825990
201907,제주도의회,7518,3107268289,24351351499,25765494
201907,제주목관아,8286,6302326086,15632899394,20407921
201907,제주민속박물관,336,13544573855,11772050211,2013249
201907,제주민속오일장,28891,6492320801,61693873874,77472817
201907,제주한란전시관,279,1351699527,27014562493,1337833
201907,조천읍2,5875,2208940796,21137425165,19576545
201907,조천읍3,15060,14650988147,67209455869,37774948
201907,조천읍사무소,3254,2433803154,28543062132,13333191
201907,천제연폭포,6074,31154141607,3.94431E+11,13689399
201907,추사적거지,2876,19082119752,1.15284E+11,6330782
201907,축산진흥원,542,1118143892,3285009487,2392567
201907,칠성로 쇼핑거리,31857,37590446676,2.08246E+11,123949016
201907,카멜리아힐,2062,23593924373,1.54667E+11,6415169
201907,케이티앤지,35948,23963988051,3.36445E+11,125255047
201907,탑동 테마거리->중앙로,41447,57646133830,2.5569E+11,128161451
201907,테디베어뮤지엄,6277,21019900207,92560033099,7043585
201907,포니벨리,1026,4367208469,49570271059,2107773
201907,표선면3,12744,6238187324,1.02313E+11,9287205
201907,플레이케이팝제주,1287,8391463589,40932357462,2200106
201907,하모3리,6731,6376996037,62994604738,5722118
201907,한경면3,1587,1888227667,10159734485,5086170
201907,한국병원,11126,2628041500,29776830603,35922320
201907,한라중학교/부영아파트,20110,10818402532,1.2806E+11,72350838
201907,한림읍사무소,2215,2681776205,20735791433,7866618
201907,함덕 서우봉 해변,21190,1.09252E+11,3.77351E+11,128461698
201907,화북주공아파트,6759,2717159441,29472570228,6418047
201907,화순 금모래해변,3340,20200989103,2.0698E+11,15391143
